Debuff,Pushed Off By,Number
Deep Wound,Fireball,907
Fireball,Deep Wound,835
Deep Wound,Corruption,112
Deep Wound,Shadowburn,106
Deep Wound,Flamestrike,92
Deep Wound,Screech,89
Deep Wound,Thunderfury,87
Deep Wound,Shadow Vulnerability,79
Fireball,Ignite,79
Deep Wound,Drain Soul,64
Deep Wound,Ignite,57
Fireball,Elemental Vulnerability,47
Deep Wound,Elemental Vulnerability,34
Fireball,Shadowburn,32
Fireball,Corruption,28
Deep Wound,Gift of Arthas,24
Deep Wound,Taunt,23
Deep Wound,Fire Vulnerability,21
Fireball,Shadow Vulnerability,20
Pyroblast,Deep Wound,16
Fireball,Screech,15
Deep Wound,Pyroblast,15
Deep Wound,Curse of the Elements,13
Deep Wound,Demoralizing Shout,12
Deep Wound,Curse of Recklessness,12
Deep Wound,War Stomp,12
Deep Wound,Curse of Shadow,11
Fireball,Drain Soul,10
Deep Wound,Rain of Fire,10
Deep Wound,Faerie Fire,8
Fireball,Thunderfury,8
Corruption,Elemental Vulnerability,8
Corruption,Shadowburn,7
Pyroblast,Ignite,6
Fireball,Flamestrike,5
Deep Wound,Disarm,5
Shadow Vulnerability (1),Shadow Vulnerability,5
Elemental Vulnerability,Fireball,5
Corruption,Ignite,5
Pyroblast,Fireball,5
Corruption,Faerie Fire,4
Fireball,Faerie Fire,4
Corruption,Shadow Vulnerability,4
Fireball,Demoralizing Shout,4
Screech,Deep Wound,4
Fireball,Fire Vulnerability,3
Fireball,Taunt,3
Deep Wound,Intercept Stun,3
Shadow Vulnerability (1),Deep Wound,3
Deep Wound,Sunder Armor,3
Corruption,Drain Soul,3
Fireball,Challenging Shout,2
Fireball,Gift of Arthas,2
Flamestrike,Deep Wound,2
Fireball,Rain of Fire,2
Deep Wound,Mocking Blow,2
Elemental Vulnerability,Deep Wound,2
Ignite (5),Corruption,2
Ignite (5),Shadowburn,2
Deep Wound,Immolate,2
Corruption,Flamestrike,2
Pyroblast,Shadowburn,2
Elemental Vulnerability,Flamestrike,2
Ignite,Deep Wound,1
Screech,Pyroblast,1
Corruption,Screech,1
Curse of the Elements,Curse of Agony,1
Curse of Agony,Curse of the Elements,1
Fireball,Intercept Stun,1
Ignite,Curse of the Elements,1
Deep Wound,Widow's Embrace,1
Deep Wound,Challenging Shout,1
Deep Wound,Kidney Shot,1
Screech,Taunt,1
Drain Soul,Drain Soul,1
Shadow Word: Pain,Kidney Shot,1
Corruption,Rain of Fire,1
Curse of Agony,Elemental Vulnerability,1
Deep Wound,Garrote,1
Fireball,Curse of Shadow,1
Deep Wound,Curse of Agony,1
Thunderfury,Flamestrike,1
Fireball,Curse of the Elements,1
Fireball,Charge Stun,1
Pyroblast,Elemental Vulnerability,1
Pyroblast,Challenging Shout,1
Flamestrike,Flamestrike,1
Thunderfury,Ignite,1
Ignite (5),Deep Wound,1
Thunderfury,Shadowburn,1
Ignite (5),Gift of Arthas,1
Corruption,Thunderfury,1
Gift of Arthas,Corruption,1
Curse of Recklessness,Curse of the Elements,1
Shadowburn,Shadowburn,1
Gift of Arthas,Elemental Vulnerability,1
Corruption,Gift of Arthas,1
Deep Wound,Flame Shock,1
Immolate,Flamestrike,1
Corruption,Deep Wound,1
Pyroblast,Corruption,1
Pyroblast,Screech,1
Fireball,Hamstring,1
Elemental Vulnerability,Fire Vulnerability,1
Ignite (3),Deep Wound,1
Gift of Arthas,Shadowburn,1
Corruption,Disarm,1
Corruption,Fire Vulnerability,1
Thunderfury,War Stomp,1
Thunderfury,Elemental Vulnerability,1
Corruption,Curse of the Elements,1
Corruption,War Stomp,1
Drain Soul,Shadowburn,1
Pyroblast,Thunderfury,1
Fireball,Pyroblast,1
Deep Wound,Drain Life,1

